@relation train

@attribute Text string
@attribute Class {"pos", "neg"}

@data

"به هر صورت معمولا چیزی که بیشتر کاربران از پرینتری پر کار در این سطح قیمت برای خانه و یا دفتر کار انتظار دارند،  تولید پرینت های با کیفیت بالا،  با سرعت زیاد و البته هزینه‌ی نگهداری پایین است.","pos"
"M1132 نیز پرینتری است که به نظر یکی از بهترین‌ها برای ایفای این نقش می‌باشد.","pos"
"ابعاد آن 415 x 265 x 250 میلی متر می‌باشد و وزن آن نیز به حدود 7 کیلوگرم می‌رسد که وزنی نسبتا کم محسوب می‌گردد.","pos"
"Hp زمان راه اندازی و Setup را با استفاده از فن آوری Smart Install Technology به طور چشمگیری کاهش داده است که به شما اجازه می‌دهد تا بدون احتیاج به یک CD جداگانه برای نصب،  فقط پرینتر را به رایانه متصل کنید تا سپس عمل نصب به صورت خودکار انجام گیرد.","pos"
"سرعت پرینت به نوعی فوق العاده می‌باشد،  به طوری که در تنظیمات استاندارد با رزولوشن 600،  این پرینتر توانایی چاپ 18 صفحه‌ی A4 در دقیقه را دارد.","pos"
"اگر در همین رزولوشن آن را بر روی Economic mode قرار دهید،  سرعت به 19 صفحه در دقیقه افزایش می‌یابد.","pos"
"حتی اگر رزولوشن را به 1200 برسانید هم سرعت به 12 صفحه در دقیقه کاهش می‌یابد که باز هم سرعت خوبیست.","pos"
"کیفیت پرینت در هر دو رزولوشنی که گفتیم،  خیلی خوب است و رنگ مشکی کاملا مشخص و غلیظ می‌باشد.","pos"
"کاربرانی که به مصرف انرژی اهمیت می‌دهند حتما خوشحال می‌شوند که این پرینتر دارای ویژگی به نام Auto on/Auto off است که باعث می‌شود وقتی پرینتر احساس می‌کند که مورد استفاده قرار نمی‌گیرد به صورت خودکار به مود Sleep برود.","pos"
"به هر صورت همانطور که گفتیم،  Hp Laser Jet Pro M1132 MFP پرینتر لیزری سیاه و سفیدی (تک رنگ) است که سرعت و کیفیت بسیار بالایی را در عمل چاپ ارایه می‌دهد.","pos"
"توانایی عملیات اسکن و کپی هم باعث می‌شوند که بتوانید دست کم در سه مورد از این پرینتر استفاده کنید.","pos"
"بنابراین اگر به دنبال پرینتری با این ویژگی‌ها هستید،  M1132 گزینه‌ی مناسبی است.","pos"
"کار با آن بسيار راحت و ساده است.","pos"
"تنها عيبي که دارد در موقع  استفاده صداي نسبتا زيادي دارد.","neg"
"با توجه به قيمتش پرينتر خوبيه.","pos"
"در کل پرينتر خوبيه!","pos"
"اين پرينتر فوق العاده است.","pos"
"من يک سالي شده که اين پرينتر خريدم ولي تا به حال هيچ مشکلي باهاش نداشتم.","pos"
"هم 3 کارست هم قيمتش با توجه با کاراييش خيلي مناسبه هم اندازه اش متناسبه و هم شيک و زيباست.","pos"
"در مورد کيفيت اسکن و پرينت و کپي مي تونين خودتون تغييرش بدين و در کل عاليه!","pos"
"خيلي کارش درسته من که تا حالا باهاش مشکلي نداشتم.","pos"
"فضاي کمي اشغال ميکند و به دليل سه کاره بودن خيلي از دست آن راضي خواهيد بود و سرعت خوبي هم دارد براي نصب هم نياز به سي دي نداريد و در مدت زمان کمي نصب ميشه.","pos"
"دستگاه خوبي است سرعت و کنترلرهاي خوبي دارد کپي و اسکن خوب انجام ميدهد.","pos"
"هر از چند گاهي مثلن وقتي که برق قطع ميشود کاغذ که وسط دستگاه گير کرده براي در آوردنش ريسک بايد بکني بکشي در بياد يا نه مونده به شانس شما از روشهاي مختلف امتحان کردم خودش نميتونه در بياره.","neg"
